PLANTA;SEMANA;FORMATO;KILOS
GF MALLOA;202352;C0535096CEAS10; 192.000 
GF MALLOA;202352;C0546070CEAB16; 100.000 
GF MALLOA;202352;C0635120CEAMG3; 255.360 
GF MALLOA;202352;C7246123CEAT8C; 11.880 
GF MALLOA;202352;P0232087CETLGR; 150.000 
GF MALLOA;202352;P0232087CEAMGR; 208.000 
GF MALLOA;202352;P2532102CEAMGR; 260.000 
SFG. MOLINA;202352;C0535096CEAS10; 147.200 
SFG. MOLINA;202352;C0546070CEAB16; 100.000 
SFG. MOLINA;202352;C0635120CEAMG3; 182.400 
SFG. MOLINA;202352;C7246123CEAT8C; 608.256 
SFG. MOLINA;202352;P0232087CETLGR; - 
SFG. MOLINA;202352;P0232087CEAMGR; 168.960 
SFG. MOLINA;202352;P2532102CEAMGR; 211.200 
SFG. MOSTAZAL;202352;C0535096CEAS10; 288.000 
SFG. MOSTAZAL;202352;C0546070CEAB16; 116.000 
SFG. MOSTAZAL;202352;C0635120CEAMG3; 328.320 
SFG. MOSTAZAL;202352;C7246123CEAT8C; 23.760 
SFG. MOSTAZAL;202352;P0232087CETLGR; - 
SFG. MOSTAZAL;202352;P0232087CEAMGR; 337.920 
SFG. MOSTAZAL;202352;P2532102CEAMGR; 422.400 
CHAMONATE SPA;202352;C0535096CEAS10; - 
CHAMONATE SPA;202352;C0546070CEAB16; - 
CHAMONATE SPA;202352;C0635120CEAMG3; 54.720 
CHAMONATE SPA;202352;C7246123CEAT8C; - 
CHAMONATE SPA;202352;P0232087CETLGR; - 
CHAMONATE SPA;202352;P0232087CEAMGR; - 
CHAMONATE SPA;202352;P2532102CEAMGR; - 
AGRICOLA EL CARMELO;202352;C0535096CEAS10; - 
AGRICOLA EL CARMELO;202352;C0546070CEAB16; - 
AGRICOLA EL CARMELO;202352;C0635120CEAMG3; - 
AGRICOLA EL CARMELO;202352;C7246123CEAT8C; - 
AGRICOLA EL CARMELO;202352;P0232087CETLGR; - 
AGRICOLA EL CARMELO;202352;P0232087CEAMGR; - 
AGRICOLA EL CARMELO;202352;P2532102CEAMGR; - 
LOS NOBLES;202352;C0535096CEAS10; - 
LOS NOBLES;202352;C0546070CEAB16; - 
LOS NOBLES;202352;C0635120CEAMG3; - 
LOS NOBLES;202352;C7246123CEAT8C; - 
LOS NOBLES;202352;P0232087CETLGR; - 
LOS NOBLES;202352;P0232087CEAMGR; - 
LOS NOBLES;202352;P2532102CEAMGR; - 
